part_id,part_name,unit_cost,lead_time_weeks,supplier,moq,on_hand,demand_cv
PRT-ESC,Ceramic Electrostatic Chuck,8200,10,CeramTech Korea,2,36,0.2
PRT-LNR,Quartz Chamber Liner,3100,6,SiQuartz Industries,4,32,0.18
PRT-FRS,Focus Ring Set,950,4,SiQuartz Industries,10,70,0.35
PRT-VPW,Viewport Window,410,3,OptiGlass Co.,10,56,0.15
PRT-RFM,RF Matching Network,6400,8,RF Dynamics,2,70,0.22
PRT-RFA,RF Power Amplifier Module,11200,12,RF Dynamics,2,30,0.25
PRT-RFS,RF Sensor/Coupler,780,5,SensorTek,5,122,0.2
PRT-MFC,Mass Flow Controller,2650,7,FlowMaster Inc.,6,190,0.18
PRT-GVM,Gas Valve Manifold,1450,6,FlowMaster Inc.,4,64,0.2
PRT-PTR,Pressure Transducer,520,4,SensorTek,8,58,0.16
PRT-SVM,Servo Motor Actuator,1850,6,PrecisionMotion,6,96,0.22
PRT-EEF,Robot Arm End Effector,2200,5,PrecisionMotion,4,66,0.24
PRT-WPS,Wafer Position Sensor,340,3,SensorTek,10,114,0.19
PRT-TMP,Turbo Molecular Pump,9800,14,VacuTech Global,2,20,0.28
PRT-DVP,Dry Vacuum Pump,6100,10,VacuTech Global,2,38,0.24
PRT-CCU,Chiller Compressor Unit,4300,9,ThermoChill Systems,2,35,0.2
PRT-CFS,Coolant Flow Sensor,290,3,ThermoChill Systems,10,58,0.17
